BE/eV,In111216_0459
546,8.30239
545.8,8.197874
545.6,8.187272
545.4,8.195189
545.2,8.121771
545,8.116025
544.8,8.033022
544.6,7.913207
544.4,8.004564
544.2,7.929674
544,8.022887
543.8,7.864402
543.6,8.022418
543.4,7.912855
543.2,7.828645
543,7.808863
542.8,7.799669
542.6,7.710996
542.4,7.717439
542.2,7.662754
542,7.731974
541.8,7.615068
541.6,7.651813
541.4,7.688565
541.2,7.595574
541,7.525867
540.8,7.488917
540.6,7.596256
540.4,7.44587
540.2,7.485723
540,7.477688
539.8,7.397612
539.6,7.449696
539.4,7.273792
539.2,7.291657
539,7.309724
538.8,7.241001
538.6,7.318027
538.4,7.232539
538.2,7.163646
538,7.230926
537.8,7.277848
537.6,7.295259
537.4,7.144678
537.2,7.146754
537,7.30253
536.8,7.27639
536.6,7.257176
536.4,7.299699
536.2,7.394862
536,7.34618
535.8,7.501924
535.6,7.507144
535.4,7.520224
535.2,7.50146
535,7.781539
534.8,7.767678
534.6,7.789971
534.4,7.956347
534.2,8.039284
534,7.933144
533.8,8.051826
533.6,8.053511
533.4,8.058201
533.2,7.918893
533,7.842079
532.8,7.820955
532.6,7.730577
532.4,7.441809
532.2,7.31755
532,7.175008
531.8,7.020998
531.6,6.834106
531.4,6.738084
531.2,6.465132
531,6.498783
530.8,6.308933
530.6,6.195622
530.4,6.114577
530.2,6.071842
530,6.120541
529.8,6.041092
529.6,6.009141
529.4,5.915896
529.2,5.941462
529,6.037352
528.8,6.017099
528.6,5.893982
528.4,5.928162
528.2,5.846058
528,5.842685
527.8,5.841857
527.6,5.887272
527.4,5.766801
527.2,5.87022
527,5.823931
526.8,5.780795
526.6,5.843256
526.4,5.804671
526.2,5.709889
526,5.807195
525.8,5.739928
525.6,5.826322
525.4,5.697381
525.2,5.845547
525,5.680898
524.8,5.736238
524.6,5.572338
524.4,5.649868
524.2,5.605674
524,5.699037
523.8,5.663034
523.6,5.613978
523.4,5.595292
523.2,5.631352
523,5.686999
522.8,5.665081
522.6,5.618745
522.4,5.569412
522.2,5.560181
522,5.610968
521.8,5.605661
521.6,5.515417
521.4,5.556867
521.2,5.582206
521,5.485799
