BE/eV,InC1s_sample
301.5,1709
301.4,1798
301.3,1845
301.2,1722
301.1,1729
301,1699
300.9,1727
300.8,1693
300.7,1647
300.6,1684
300.5,1659
300.4,1650
300.3,1696
300.2,1642
300.1,1599
300,1671
299.9,1644
299.8,1540
299.7,1614
299.6,1607
299.5,1591
299.4,1573
299.3,1552
299.2,1646
299.1,1583
299,1584
298.9,1631
298.8,1553
298.7,1506
298.6,1595
298.5,1590
298.4,1543
298.3,1529
298.2,1533
298.1,1526
298,1529
297.9,1472
297.8,1558
297.7,1521
297.6,1534
297.5,1505
297.4,1477
297.3,1516
297.2,1528
297.1,1442
297,1472
296.9,1428
296.8,1482
296.7,1505
296.6,1514
296.5,1451
296.4,1446
296.3,1505
296.2,1559
296.1,1480
296,1456
295.9,1470
295.8,1516
295.7,1501
295.6,1502
295.5,1488
295.4,1472
295.3,1429
295.2,1490
295.1,1522
295,1471
294.9,1557
294.8,1521
294.7,1519
294.6,1517
294.5,1490
294.4,1466
294.3,1480
294.2,1549
294.1,1506
294,1518
293.9,1581
293.8,1556
293.7,1554
293.6,1582
293.5,1507
293.4,1546
293.3,1608
293.2,1545
293.1,1568
293,1670
292.9,1617
292.8,1654
292.7,1744
292.6,1668
292.5,1634
292.4,1731
292.3,1723
292.2,1702
292.1,1633
292,1769
291.9,1726
291.8,1759
291.7,1832
291.6,1776
291.5,1844
291.4,1774
291.3,1811
291.2,1783
291.1,1747
291,1788
290.9,1838
290.8,1806
290.7,1741
290.6,1767
290.5,1825
290.4,1799
290.3,1816
290.2,1871
290.1,1815
290,1827
289.9,1819
289.8,1804
289.7,1851
289.6,1923
289.5,1805
289.4,1866
289.3,1795
289.2,1804
289.1,1738
289,1781
288.9,1900
288.8,1917
288.7,1824
288.6,1777
288.5,1833
288.4,1883
288.3,1905
288.2,1914
288.1,2046
288,2002
287.9,2036
287.8,1982
287.7,2055
287.6,2179
287.5,2226
287.4,2155
287.3,2358
287.2,2320
287.1,2421
287,2577
286.9,2652
286.8,2719
286.7,2955
286.6,3057
286.5,3189
286.4,3539
286.3,3868
286.2,3949
286.1,4313
286,4787
285.9,5083
285.8,5523
285.7,5975
285.6,6442
285.5,6718
285.4,7355
285.3,7506
285.2,8321
285.1,8215
285,8573
284.9,8716
284.8,9046
284.7,9078
284.6,9359
284.5,9263
284.4,9098
284.3,8957
284.2,8626
284.1,7977
284,7626
283.9,7229
283.8,6722
283.7,6234
283.6,5610
283.5,5037
283.4,4521
283.3,4060
283.2,3693
283.1,3236
283,2803
282.9,2481
282.8,2196
282.7,1783
282.6,1660
282.5,1379
282.4,1259
282.3,1131
282.2,1010
282.1,959
282,888
281.9,852
281.8,764
281.7,723
281.6,769
281.5,652
281.4,642
281.3,622
281.2,583
281.1,567
281,617
280.9,564
280.8,543
280.7,526
280.6,483
280.5,489
280.4,496
280.3,476
280.2,508
280.1,469
280,470
279.9,457
279.8,447
279.7,435
279.6,439
279.5,444
279.4,436
279.3,467
279.2,442
279.1,449
279,456
278.9,408
278.8,427
278.7,446
278.6,389
278.5,432
278.4,426
278.3,456
278.2,429
278.1,448
278,451
277.9,400
277.8,427
277.7,445
277.6,425
277.5,436
277.4,415
277.3,407
277.2,441
277.1,461
277,445
276.9,464
276.8,454
276.7,418
276.6,412
276.5,377
276.4,444
276.3,395
276.2,451
276.1,438
276,387
275.9,381
275.8,382
275.7,424
275.6,399
275.5,460
275.4,426
275.3,409
275.2,413
275.1,431
275,389
274.9,357
274.8,413
274.7,382
274.6,416
274.5,394
274.4,380
274.3,426
274.2,422
274.1,442
274,432
273.9,389
273.8,419
273.7,441
273.6,414
273.5,393
273.4,404
273.3,410
273.2,406
273.1,429
273,393
272.9,419
272.8,427
272.7,438
272.6,409
272.5,426
272.4,382
272.3,403
272.2,414
272.1,394
272,396
271.9,417
271.8,421
271.7,411
271.6,429
271.5,400
271.4,379
271.3,453
271.2,405
271.1,407
271,408
270.9,414
270.8,424
270.7,423
270.6,408
270.5,416
270.4,453
270.3,426
270.2,395
270.1,434
270,399
269.9,382
269.8,384
269.7,417
269.6,388
269.5,426
269.4,394
269.3,438
269.2,404
269.1,418
269,404
268.9,407
268.8,387
268.7,398
268.6,413
268.5,410
268.4,369
268.3,426
268.2,426
268.1,421
268,389
267.9,436
267.8,377
267.7,394
267.6,401
267.5,425
267.4,392
267.3,378
267.2,418
267.1,439
267,409
266.9,412
266.8,418
266.7,384
266.6,428
266.5,393
